SuccubusNo,SuccubusName,HeartLevel/Ending,Choice,ChoiceNext,DlgS,DlgJ,args
,,,,,,Urk...,
,,,,,"My mood is now ruined, thanks to you.",,
,,,,,"Go away, your face displeases me.",,
,,,,,,I- I understand...,
,,,2-3-B,III-3,Before all this happened...,,
,,,,,,"Before all this happened, my wife was the one who helped me...",
,,,,,,"Ah, actually, it's more like we worked together.",
,,,,,"Hmph, that's odd.",,
,,,,,,What's so odd about that?,
,,,,,"Why would you work with someone, if you could just make them work for you?",,
,,,,,,...,
,,,,,,It's the time we Spent together that matters.,
,,,,,"Pfft, more like a waste of time.",,
,,II-4,,,,,
,,,,,,Thank you for your hard work yesterday.,
,,,,,...?,,
,,,,,,D- did I say something wrong?,
,,,,,"""Thank you?” What's that?",,
,,,,,,Uhh... It's... what you say to a person you feel grateful for.,
,,,,,,Like when they do something for you...,
,,,,,"Ugh, don't feel so full of yourself.",,
,,,,,I didn't do that for you!,,
,,,2-4-A,II-3,"What should I do, then?",,
,,,,,,I- I know...,
,,,,,,"What can I do to return the favor, then?",
,,,,,f Just serve me better.,,
,,,,,You can start with escorting me with a Victoria.,,
,,,,,,Vic- y- you know I can't afford that.,
,,,,,I don't care. I want the most elegant one.,,
,,,,,Who would let a queen sweat While she goes out on the town?,,
,,,,,,"I... I escorted you with a parasol, though.",
,,,,,And you think that's enough?!,,
,,,2-4-B,II-5,I still want to thank you.,,
,,,,,,Still... I want to thank you.,
,,,,,Why do humans bother with stuff like this?,,
,,,,,,I think it's important to let someone know that you appreciate them.,
,,,,,Appreciate...,,
,,,,,I don't understand.,,
,,,,,,"You have lots of assistants in your realm, right?",
,,,,,,What would you do if they weren't there?,
,,,,,...,,
,,II-5,,,,,
,,,,,Ugggh... This is annoying.,,
,,,,,,Do you need help?,
,,,,,"Oh, perfect timing.",,
,,,,,Get my bangle from under the bed. I dropped it.,,
,,,,,,...,
,,,,,,"You could, er, you could just bend down...",
,,,,,Just do it!,,
,,,,,,"All right, all right... here you go.",
,,,,,Great. Now give it to me.,,
,,,2-5-A,III-3,"Say ""thank you"" first.",,
,,,,,,How about saying thank you first? Then I'll give it to you.,
,,,,,Quit joking. I don't have time for this.,,
,,,,,,I'm... I'm serious.,
,,,,,It's not important!,,
,,,,,,"Maybe it's not important for you, but how about for others?",
,,,,,,You can't always take everything for granted.,
,,,,,It... doesn't matter for us succubi...,,
,,,,,"Unlike you humans, we don't need petty validations!",,
,,,,,,Just... say the word...,
,,,,,I'd rather die!,,
,,,2-5-B,III-1,Here it is.,,
,,,,,,Here. Don't drop it again.,
,,,,,"If I do, I have you to get it for me, don't I?",,
,,,,,,What if I'm not around to help you?,
,,,,,I'll just wait for you to come back!,,
,,,,,,And what if I never come back?,
,,,,,I'll find other people.,,
,,,,,,You're so stubborn.,
,,,,,That's just how things are.,,
,,III-1,,,,,
,,,,,I don't understand...,,
,,,,,Why isn't he here yet?!,,
,,,,,,Is someone going to pick you up?,
,,,,,It's Asmodeus!,,
,,,,,Oh... I know.,,
,,,,,He must be preparing for our ceremony!,,
,,,,,That's why he's taking so long...,,
,,,,,,Is he really going to see you himself?,
,,,,,Why would he not?!,,
,,,3-1-A,III-2,Once you become the rightful queen.,,
,,,,,,"Say, once you become the rightful queen...",
,,,,,,.. what are you planning to do next?,
,,,,,Of course I would live comfortably with everyone serving me.,,
,,,,,,But don't you have to help out Asmodeus as well?,
,,,,,,Considering that you'll stand by his side...,
,,,,,Help... with what?,,
,,,,,,Taking care of the realm? Isn't that what a queen's supposed to do?,
,,,,,...,,
,,,3-1-B,EB,Her right to become the queen.,,
,,,,,,What would you do if he's not coming?,
,,,,,"Oh, believe me, he will.",,
,,,,,For I am the rightful queen.,,
,,,,,,You're rather sure about that...,
,,,,,A high-class succubus like me naturally belongs with a king.,,
,,,,,If only you weren't a peasant... I might have considered staying with you.,,
,,,,,,Eh?,
,,,,,Heehee. In your dreams!,,
,,III-2,,,,,
,,,,,Why do you look so exhausted?,,
,,,,,,You can tell...?,
,,,,,"Well, it would be troublesome if you can't serve me.",,
,,,,,,Here I thought you were finally thinking about others.,
,,,,,,Sigh... I wish she were here...,
,,,,,Who are you talking about? Your slave?,,
,,,,,,I told you I don't need someone like that.,
,,,,,,"As husband and wife... Luna and I were more like a team, I guess.",
,,,,,,We cared about each other.,
,,,,,I still can't fathom that kind of thinking.,,
,,,3-2-A,EB,We share the same goal.,,
,,,,,,"Well, we worked hard together so we could live comfortably in this house.",
,,,,,,All the stuff that you see here... is the result of our hard work.,
,,,,,Huh? Your ancestors didn't leave an inheritance?,,
,,,,,,We can't rely on inheritance alone...,
,,,,,,"Besides, it's more meaningful when you enjoy the things you earned from hard work.",
,,,,,That doesn't apply to me.,,
,,,3-2-B,EA,Taking care of each other.,,
,,,,,,It's nice to have someone... to look after each other.,
,,,,,,"Plus, both of us worked in the same industry.",
,,,,,,So we understood each other pretty well.,
,,,,,Sounds boring.,,
,,,,,,I thought you could relate since you Seem to know Asmodeus well.,
,,,,,,Being a queen and all...,
,,,,,Urkk... How would I know about that!?,,
,,III-3,,,,,
,,,,,,You're throwing out more stuff?,
,,,,,"If you have the time to complain, just get rid of them for me.",,
,,,,,,Are these from your fans again?,
,,,,,,You're so harsh with them...,
,,,,,I don't care.,,
,,,,,They seem to enjoy being my slaves anyway.,,
,,,3-3-A,EB,Did you give them something in return?,,
,,,,,,Did you perhaps... give them something in return?,
,,,,,Huh? I just simply exist.,,
,,,,,And they instantly swoon over me.,,
,,,,,,Ugghh...,
,,,,,It's only a matter of time until Asmodeus feels the same way.,,
,,,,,"After all, no matter how you look at me...",,
,,,,,I'm the only one for him!,,
,,,3-3-B,III-4,Make sure to thank them.,,
,,,,,,Did you thank them properly?,
,,,,,For what?,,
,,,,,It's just how things should be. Slaves must pay tribute to their queen.,,
,,,,,,Aren't you afraid that someday they will leave you?,
,,,,,,Nobody wants to be treated like this.,
,,,,,"Nope, I'll always have a slave.",,
,,,,,,W- why are you looking at me like that?,
,,,,,It's just funny...,,
,,,,,"You still stick around, despite giving me a lecture about people leaving me.",,
,,,,,,...,
,,III-4,,,,,
,,,,,What's that you're holding?,,
,,,,,,Oh... It's my wife's Stuff...,
,,,,,Looks neat. Give them to me.,,
,,,,,,Uhmm... I- I can't. I'm going to keep these somewhere...,
,,,,,You don't want to listen to your queen!?,,
,,,,,,"N- no, it's just... It's the stuff from her fans...",
,,,,,,"Since she treasures them so much, I want to keep them safe for her.",
,,,,,Getting lots of gifts...,,
,,,,,Is she some kind of a queen?!,,
,,,3-4-A,EA,She's my queen.,,
,,,,,,She's my queen.,
,,,,,What's with that creepy smile?,,
,,,,,,Ah... sorry. I was just thinking about her.,
,,,,,What did she do to deserve such adoration anyway?,,
,,,,,,"Well, to start... She was a hard worker... and she valued her fans very much.",
,,,,,,"For her, it was a matter of fostering a special connection between her and her fans.",
,,,,,,I think that's why many people loved her.,
,,,,,Weird.,,
,,,3-4-B,EB,It's not like that.,,
,,,,,,It's not like that...,
,,,,,,But I think you can be more like her.,
,,,,,What do you mean?! I'm the one and only-,,
,,,,,,I- I mean... in terms of understanding your fans' feelings...,
,,,,,I don't see any benefit in doing that.,,
,,,,,,"Why don't you start with me, then?",
,,,,,Huh?,,
,,,,,,Maybe we can understand each other better.,
,,EA,,,"When she was still a succubus, Lamia's ethereal beauty captivated humans.",,
,,,,,"After turning into one, she continued to be an entertainer. Getting attention is what she likes, after all.",,
,,,,,"But now, she realizes how fulfilling it is to be rewarded for her hard work.",,
,,,,,"As if getting a second chances at his old life, Jake happily supports Lamia as her manager.",,
,,EB,,,"When she turned into a human, Jake believed it meant that Lamia had fallen in love with him.",,
,,,,,"Yet that was not the case, however, since Lamia still thinks of the Master as her perfect partner.",,
,,,,,"Slowly, Jake is made to change to the form of her ideal.",,
,,,,,"Long hair, slitted mouth, everything that she remembers about the Master are all visible in Jake.",,
9,Enyo,I-1,,,Enyo,,
,,,,,Grrr...,,
,,,,,,"(Uh oh, I think I shouldn't bother her.)",
,,,,,"Hey, you!",,
,,,,,,Y- y- yes?,
,,,,,I don't want to do that boring succubus Stuff!,,
,,,,,,Boring succubus stuff?,
,,,,,,You mean collecting Carnal Essence?,
,,,,,"But if you need me to kill somebody, then I will do that for you no questions asked.",,
,,,1-1-A,I-2,Please don't.,,
,,,,,,I don’t think I need an assassin.,
,,,,,Not yet.,,
,,,,,,...,
,,,,,,"Anyway, please don't cause any trouble.",
,,,,,,Especially when you're in town.,
,,,,,There's no trouble when there aren't any witnesses.,,
,,,,,,(This one's dangerous.),
,,,1-1-B,II-1,I only need Carnal Essence.,,
,,,,,,"I only need you to collect Carnal Essence, nothing else.",
,,,,,Booooring!,,
,,,,,Ripping their guts out is much more thrilling.,,
,,,,,,Ripping their what?!,
,,,,,,Y- you can't do that!,
,,,,,,"You can't hurt anyone, no matter what.",
,,,,,...,,
,,,,,,(It's a good thing that they have to obey my orders.),
,,I-2,,,,,
,,,,,If only I wasn't bound to a stupid human.,,
,,,,,I could have killed that guy on the spot!,,
,,,,,,...,
,,,,,,Do you have a problem with someone?,
,,,,,Your client insulted me yesterday!,,
,,,,,We have to make him regret it!,,
,,,,,,Wait... Let's calm down first...,
,,,,,,Not everything has to be solved with violence.,
,,,,,Not for me! Just destroying the problem is so much easier!,,
,,,1-2-A,II-1,Is it only you?,,
,,,,,,Are all of your kind like this?,
,,,,,Do you have someone you want to kill so much...?,,
,,,,,That you have to call an army of the Enyo?,,
,,,,,,T-that's not what I mean!,
,,,,,"We can wipe out the whole town in the blink of an eye, if you so desired.",,
,,,,,The heads of your enemies all lined up for you like trophies on a shelf.,,
,,,,,,"Let's, uh, change the subject.",
,,,1-2-B,II-2,Why are you so bloodthirsty?,,
,,,,,,How did you become so bloodthirsty...,
,,,,,Hah.,,
,,,,,A puny human like you could never understand.,,
,,,,,"When someone is really annoying, and you tear them apart with your bare hands...",,
,,,,,Do you know what happens?,,
,,,,,,... What?,
,,,,,They stop annoying you. Because they're dead! Hahahahaha!,,
,,,,,,Is that how you've been living your life?,
,,,,,"My kind don't like to waste time, and neither does the Master.",,
,,I-3,,,,,
,,,,,,Those arms...,
,,,,,What? These?,,
,,,,,"Oh, these are our weapons.",,
,,,,,"Neat, huh? You wanna know what they're used for?",,
,,,,,,I- I don't think I want to know-,
,,,,,ASK ME!,,
,,,1-3-A,I-2,W- What are those for?,,
,,,,,,"Uhh... okay, what do you use them for?",
,,,,,Punishing bad succubi!,,
,,,,,,"Y- you're kidding, right?",
,,,,,I'm not joking.,,
,,,,,"Punishment... you humans like it too, right?",,
,,,,,,W- what?! No one wants to get hurt!,
,,,,,"Well, when I'm with humans, sometimes they tell us to punish them.",,
,,,,,But they don't want to die! They like to use... what is it called...,,
,,,,,A safe word?,,
,,,,,,"... Let's not talk about it, shall we?",
,,,1-3-B,II-2,Are those made specially for you?,,
,,,,,,Were they made specifically for you?,
,,,,,"Well, not specifically me.",,
,,,,,The Master made them for my kind.,,
,,,,,"We rarely use them, though, since we're already plenty strong.",,
,,,,,,So... when have you ever used those arms?,
,,,,,When the Master ordered us to... and...,,
,,,,,,And?,
,,,,,"Ugh, if only the Kasu didn't mess with them so much...",,
,,,,,I wouldn't have to use these hands!,,
,,,,,Why did the Kasu have to give them super-strength...,,
,,,,,,(Who is she talking about?),
,,II-1,,,,,
,,,,,,"DEAR CELESTIALS, WHAT HAPPENED!?",
,,,,,Huh? You told me not to kill humans...,,
,,,,,"So, I killed this creature instead!",,
,,,,,,There are rat guts... everywhere...,
,,,,,,(She really can't contain her lust for blood...),
,,,,,Ahahaha. I know what you're thinking!,,
,,,,,My bloodlust can't be stopped.,,
,,,,,It's your fault for ordering me not to kill any humans.,,
,,,2-1-A,II-2,You even kill other succubi?,,
,,,,,,Do you... kill your own kind?,
,,,,,"If Master Asmodeus wants us to, then yes.",,
,,,,,You see this tail?,,
,,,,,It's made from a special material that can easily slice through a succubus!,,
,,,,,,And the Master is the one who gave you that?,
,,,,,You bet.,,
,,,,,"So, if anyone's acting naughty, my Kind will be the ones to punish them!",,
,,,,,,"The Master really trusts you, huh...",
,,,2-1-B,II-3,Have you killed a human?,,
,,,,,,Have you really killed a human before...?,
,,,,,What? You want to know how I kill them?,,
,,,,,,T- that's not what I'm asking-,
,,,,,Humans are such frail creatures... It doesn't take much to kill them.,,
,,,,,You're all such easy prey. Hehehehe.,,
,,,,,,(I'd better go now...),
,,II-2,,,,,
,,,,,Ehehehe.,,
,,,,,,Something good happen to you?,
,,,,,"Oh, just recalling a happy memory.",,
,,,,,"Specifically, the faces of those hags when the Master replaced them with the Enyo.",,
,,,,,Hah! Priceless!,,
,,,,,,Hags?,
,,,,,"Those old succubi, the Berith.",,
,,,,,They think they deserve to be the Master's right hand.,,
,,,,,But then he chose us instead! Ahahahaha!,,
,,,,,,Is it because you're stronger?,
,,,,,Of course! Our ability to kill is second to none!,,
,,,2-2-A,III-1,You'd do anything for the Master?,,
,,,,,,I get the impression that you're willing to do anything for your ruler.,
,,,,,He does like us!,,
,,,,,"I mean, look at these sweet arms and tail he gave us!",,
,,,,,,"So, your kind aren't liked by the others?",
,,,,,Hmph.,,
